Time;Temperature;Humidity
2026-03-22 22:30:14;23;73
2026-03-22 22:30:14;6;51
2026-03-22 22:30:14;10;85
2026-03-22 22:30:14;0;12
2026-03-22 22:30:14;6;14
2026-03-22 22:30:14;2;13
2026-03-22 22:30:14;30;55
2026-03-22 22:30:14;17;28
2026-03-22 22:30:14;7;67
2026-03-22 22:30:14;15;63
2026-03-22 22:30:14;10;35
2026-03-22 22:30:14;17;86
2026-03-22 22:30:14;3;64
2026-03-22 22:30:14;0;28
2026-03-22 22:30:14;14;81
2026-03-22 22:30:14;2;95
2026-03-22 22:30:14;16;13
2026-03-22 22:30:14;16;11
2026-03-22 22:30:14;4;83
2026-03-22 22:30:14;15;45
2026-03-22 22:30:14;28;69
2026-03-22 22:30:14;6;30
2026-03-22 22:30:14;21;82
2026-03-22 22:30:14;15;15
2026-03-22 22:30:14;24;55
2026-03-22 22:30:14;16;16
2026-03-22 22:30:14;7;91
2026-03-22 22:30:14;26;52
2026-03-22 22:30:14;19;85
2026-03-22 22:30:14;8;33
2026-03-22 22:30:14;0;22
2026-03-22 22:30:14;9;61
2026-03-22 22:30:14;23;98
2026-03-22 22:30:14;20;25
2026-03-22 22:30:14;22;23
2026-03-22 22:30:14;19;26
2026-03-22 22:30:14;11;46
2026-03-22 22:30:14;5;67
2026-03-22 22:30:14;1;45
2026-03-22 22:30:14;7;100
2026-03-22 22:30:14;27;66
